full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,82636,82636,6923,136,136,17,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,107400,107400,13968,882,882,151,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,38718,38718,6084,161,161,21,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,30410,30410,2350,19,19,3,https://github.com/musistudio/claude-code-router
hesreallyhim/awesome-claude-code,32346,32346,2245,86,86,4,https://github.com/hesreallyhim/awesome-claude-code
davila7/claude-code-templates,23562,23562,2272,21,21,5,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,21936,21936,1904,89,89,7,https://github.com/shanraisshan/claude-code-best-practice
anthropics/claude-code-action,6580,6580,1594,9,9,0,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,15147,15147,1692,27,27,4,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,9337,9337,1196,1,1,1,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,8178,8178,594,9,9,1,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,6661,6661,904,40,40,6,https://github.com/Piebald-AI/claude-code-system-prompts
ykdojo/claude-code-tips,6729,6729,461,17,17,2,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5575,5575,489,-1,-1,0,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3743,3743,550,2,2,0,https://github.com/OneRedOak/claude-code-workflows
Donchitos/Claude-Code-Game-Studios,4832,4832,634,327,327,32,https://github.com/Donchitos/Claude-Code-Game-Studios
pedrohcgs/claude-code-my-workflow,760,760,1411,2,2,10,https://github.com/pedrohcgs/claude-code-my-workflow
1rgs/claude-code-proxy,3301,3301,431,1,1,0,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3406,3406,587,5,5,1,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3722,3722,344,4,4,0,https://github.com/zebbern/claude-code-guide
kodu-ai/claude-coder,5288,5288,197,0,0,0,https://github.com/kodu-ai/claude-coder
anthropics/skills,102767,102767,11291,208,208,31,https://github.com/anthropics/skills
qwibitai/nanoclaw,25448,25448,8681,40,40,71,https://github.com/qwibitai/nanoclaw
Yuyz0112/claude-code-reverse,2265,2265,375,11,11,3,https://github.com/Yuyz0112/claude-code-reverse
